h en0 var0 maxBondDim0 gap var1 maxBondDim1 
0 -40.6423 3.36447e-05 668 0.223396 4.09074e-05 1286 
0.1 -41.8348 3.47733e-05 259 0.353248 3.55047e-05 526 
0.2 -43.8581 4.04581e-05 139 0.651133 3.8174e-05 416 
0.3 -46.2339 4.20985e-05 100 0.92379 3.61427e-05 325 
0.4 -48.8357 4.50608e-05 80 1.15715 4.22544e-05 177 
0.5 -51.5994 4.95246e-05 66 1.36963 4.70722e-05 99 
0.6 -54.4854 5.83144e-05 55 1.57194 5.09047e-05 77 
0.7 -57.4672 6.13525e-05 47 1.76814 7.22268e-05 66 
0.8 -60.526 6.70346e-05 42 1.9607 6.49905e-05 58 
0.9 -63.6478 6.94672e-05 36 2.15123 6.40433e-05 52 
1 -66.8219 7.79609e-05 33 2.3407 7.26103e-05 48 
1.1 -70.0401 7.38035e-05 31 2.52976 7.46899e-05 44 
1.2 -73.2956 8.35941e-05 29 2.71879 8.12223e-05 41 
