h en0 var0 maxBondDim0 gap var1 maxBondDim1 
0 -42.6964 3.5934e-05 277 0.126108 3.68111e-05 352 
0.1 -44.5671 3.98991e-05 95 1.03923 4.67304e-05 268 
0.2 -47.1129 4.51617e-05 70 1.49132 4.10155e-05 163 
0.3 -49.896 4.92818e-05 57 1.84255 4.43816e-05 130 
0.4 -52.8229 4.76924e-05 46 2.14606 4.59655e-05 111 
0.5 -55.8503 5.44943e-05 42 2.42014 5.09393e-05 99 
0.6 -58.9532 7.63286e-05 38 2.67407 6.82421e-05 89 
0.7 -62.1155 8.239e-05 33 2.91369 7.28367e-05 81 
0.8 -65.3259 7.72289e-05 30 3.14298 7.10901e-05 74 
0.9 -68.5761 8.21743e-05 28 3.36475 7.6206e-05 68 
1 -71.8598 7.4403e-05 27 3.58099 7.21553e-05 62 
1.1 -75.1722 7.32165e-05 26 3.7931 7.15581e-05 57 
1.2 -78.5092 6.53428e-05 26 4.00212 6.4858e-05 55 
1.3 -81.8678 8.66248e-05 26 4.20879 8.41549e-05 52 
1.4 -85.2451 0.000103644 25 4.41367 9.70331e-05 49 
1.5 -88.6392 0.00010441 24 4.61715 0.000101589 46 
1.6 -92.0481 0.000119186 23 4.81956 0.000112523 45 
1.7 -95.4702 0.000154973 22 5.02112 0.000138245 43 
1.8 -98.9041 0.000133357 21 5.22202 0.000124307 40 
1.9 -102.349 0.000145825 20 5.4224 0.000137222 39 
2 -105.803 0.000134807 18 5.62236 0.000135632 37 
2.1 -109.266 0.000174302 18 5.82189 0.00027559 38 
2.2 -112.737 0.000197028 17 6.02043 0.000841167 35 
2.3 -116.216 0.00016851 16 6.21454 0.00217434 35 
2.4 -119.701 0.000174161 15 6.40795 0.000274376 29 
2.5 -123.192 0.000151221 15 6.60568 0.000152989 25 
2.6 -126.689 0.000187041 15 6.80381 0.000180174 26 
2.7 -130.192 0.000135587 14 7.00201 0.000132093 24 
2.8 -133.699 0.000155219 14 7.20025 0.000154138 23 
2.9 -137.21 0.00013522 14 7.39854 0.000133622 23 
3 -140.726 0.000117212 14 7.59686 0.00011846 22 
3.1 -144.246 0.000101972 14 7.79523 0.000107071 21 
3.2 -147.769 8.90198e-05 14 7.99364 9.37353e-05 21 
3.3 -151.296 7.79704e-05 14 8.19209 8.36505e-05 21 
