h en0 var0 maxBondDim0 gap var1 maxBondDim1 
0 -42.6964 3.5934e-05 277 0.126108 3.68111e-05 352 
0.1 -43.2151 3.54878e-05 137 0.581443 3.66904e-05 369 
0.2 -44.0171 3.78254e-05 110 0.86271 4.38382e-05 358 
0.3 -44.9462 4.02919e-05 97 1.04644 8.65863e-05 310 
0.4 -45.9683 4.31511e-05 89 1.17201 6.37857e-05 292 
0.5 -47.0688 4.54887e-05 84 1.24557 3.7094e-05 280 
0.6 -48.2425 4.74168e-05 81 1.24981 3.46895e-05 284 
0.7 -49.4901 4.90742e-05 80 1.12307 4.66755e-05 259 
0.8 -50.8189 4.97577e-05 81 0.939243 4.86038e-05 247 
0.9 -52.2444 5.02398e-05 86 0.715643 5.24708e-05 239 
1 -53.7985 5.27986e-05 106 0.452878 5.56643e-05 229 
1.1 -55.5674 5.75311e-05 144 0.186637 5.95718e-05 208 
1.2 -57.8453 6.40546e-05 103 0.33769 6.19492e-05 195 
1.3 -60.486 6.45301e-05 70 0.624614 6.66567e-05 157 
1.4 -63.3161 7.2516e-05 59 0.869863 6.84864e-05 99 
1.5 -66.2783 7.5852e-05 49 1.09601 7.31406e-05 67 
1.6 -69.3393 7.93903e-05 43 1.3115 8.55042e-05 60 
1.7 -72.4774 8.68101e-05 38 1.52017 0.000109195 53 
1.8 -75.6768 0.000100964 36 1.72437 0.000109284 46 
1.9 -78.9262 0.000101861 32 1.92564 0.000103451 42 
2 -82.2166 7.79017e-05 29 2.12501 0.000108956 39 
2.1 -85.5415 0.000190783 27 2.32316 0.000156931 36 
2.2 -88.8952 0.000268673 26 2.52055 0.000221083 34 
2.3 -92.2736 0.000224017 24 2.7175 0.000216269 32 
2.4 -95.6731 0.000208792 24 2.91421 0.000200058 31 
2.5 -99.0909 0.000205792 22 3.11081 0.000190324 29 
2.6 -102.525 0.00021013 22 3.3074 0.000207237 27 
2.7 -105.972 0.000202065 21 3.50403 0.000209685 26 
2.8 -109.432 0.00022023 20 3.70075 0.000216012 25 
2.9 -112.902 0.000182396 20 3.89757 0.000185576 24 
3 -116.383 0.000201314 19 4.09452 0.000192931 23 
3.1 -119.871 0.000195251 18 4.29159 0.000186478 22 
3.2 -123.368 0.000194431 17 4.48879 0.000184115 21 
3.3 -126.871 0.000219867 16 4.68612 0.000211421 21 
3.4 -130.381 0.000224187 16 4.88357 0.000205009 21 
3.5 -133.896 0.000190363 14 5.08115 0.000179808 20 
3.6 -137.416 0.000158312 14 5.27884 0.00015948 20 
3.7 -140.941 0.000132394 14 5.47664 0.000134878 19 
3.8 -144.471 0.000111303 14 5.67455 0.000113443 19 
3.9 -148.004 9.40358e-05 14 5.87256 0.000114035 19 
4 -151.541 7.98198e-05 14 6.07065 0.000109127 18 
4.1 -155.081 6.80535e-05 14 6.26884 9.56297e-05 18 
4.2 -158.624 5.82658e-05 14 6.46711 8.23163e-05 18 
4.3 -162.17 5.0084e-05 14 6.66546 7.85801e-05 17 
4.4 -165.719 4.32142e-05 14 6.86388 6.89288e-05 17 
4.5 -169.27 3.74208e-05 14 7.06237 6.86886e-05 17 
4.6 -172.824 3.25158e-05 14 7.26092 6.78794e-05 17 
4.7 -176.379 2.83453e-05 14 7.45954 6.76152e-05 16 
4.8 -179.937 6.36678e-05 14 7.65822 9.26089e-05 16 
4.9 -183.496 5.7463e-05 14 7.85695 9.32532e-05 16 
5 -187.057 5.7612e-05 13 8.05573 9.4749e-05 15 
5.1 -190.62 8.10599e-05 13 8.25456 0.000124158 14 
5.2 -194.184 0.000272628 12 8.45343 0.000290873 14 
5.3 -197.749 0.000504346 11 8.65235 0.000464515 14 
5.4 -201.316 0.000489848 10 8.85131 0.000431902 14 
5.5 -204.885 0.000867214 10 9.05031 0.000750396 14 
5.6 -208.454 0.000816771 10 9.24935 0.000697631 14 
5.7 -212.025 0.000770101 10 9.44842 0.000662102 13 
5.8 -215.596 0.000717905 10 9.64752 0.000639576 13 
5.9 -219.169 0.000670058 10 9.84666 0.000596746 13 
6 -222.742 0.000626134 10 10.0458 0.000581141 13 
