h en0 var0 maxBondDim0 gap var1 maxBondDim1 
0 -181.655 0.0102143 1600 0.088573 0.0160355 1600 
0.1 -190.636 0.000566413 979 1.18258 0.000951855 1600 
0.2 -201.471 0.000674638 659 1.64844 0.000696933 1600 
0.3 -213.004 0.000721285 484 1.99598 0.000711473 1309 
0.4 -224.987 0.000971168 379 2.28471 0.000920622 1057 
0.5 -237.297 0.00116588 310 2.53987 0.00110076 861 
0.6 -249.858 0.00139754 260 2.77513 0.00132561 706 
0.7 -262.622 0.00155713 227 2.99822 0.00147533 603 
0.8 -275.553 0.00308682 196 3.21358 0.00282748 524 
0.9 -288.623 0.00610449 156 3.42388 0.00568323 462 
1 -301.813 0.00562567 129 3.63076 0.00525051 404 
1.1 -315.105 0.0068233 119 3.83523 0.00644574 359 
1.2 -328.485 0.0118549 99 4.03793 0.011105 328 
1.3 -341.943 0.0236396 85 4.23937 0.0222802 299 
1.4 -355.473 0.0212038 79 4.43997 0.0198843 273 
1.5 -369.064 0.0188633 75 4.63993 0.0178031 254 
1.6 -382.71 0.0171229 72 4.83941 0.0164159 231 
1.7 -396.405 0.0154606 70 5.03846 0.0146585 207 
1.8 -410.145 0.0136566 68 5.23725 0.0130083 191 
1.9 -423.925 0.0124675 66 5.43581 0.0119332 173 
2 -437.742 0.01146 64 5.63422 0.0110291 157 
2.1 -451.593 0.0104689 63 5.83252 0.0101371 143 
2.2 -465.474 0.0129845 61 6.03073 0.0125073 135 
2.3 -479.383 0.0148402 59 6.22887 0.0141497 127 
2.4 -493.319 0.0148044 56 6.42701 0.0141849 120 
2.5 -507.278 0.0126373 53 6.62513 0.0120974 110 
2.6 -521.259 0.013567 51 6.82326 0.0131364 102 
2.7 -535.26 0.0147791 49 7.02138 0.0142671 95 
2.8 -549.281 0.0153291 47 7.21951 0.0148156 90 
2.9 -563.319 0.0166457 46 7.41767 0.016191 87 
3 -577.374 0.0194265 43 7.61587 0.0191168 84 
3.1 -591.44 0.079346 43 7.81412 0.0794727 78 
3.2 -605.525 0.0789834 41 8.01223 0.0764779 74 
3.3 -619.622 0.0778634 41 8.21053 0.0756736 67 
3.4 -633.733 0.0740896 41 8.40886 0.0720418 66 
3.5 -647.855 0.0712079 41 8.60722 0.0692921 64 
3.6 -661.988 0.0685834 41 8.80561 0.066746 61 
3.7 -676.132 0.0658329 40 9.00404 0.0640389 59 
3.8 -690.284 0.111253 40 9.2024 0.107405 58 
3.9 -704.444 0.151779 40 9.40081 0.146028 57 
4 -718.616 0.146405 40 9.59936 0.140902 55 
4.1 -732.796 0.143413 39 9.79784 0.136012 55 
4.2 -746.984 0.138282 39 9.99646 0.131139 54 
4.3 -761.18 0.133791 38 10.1951 0.126864 52 
